username,group_name,assignment_type,approval_reference
acollins,GG-All-Employees,Role-Based,RBAC-HELPDESK
acollins,GG-HelpDesk-Analysts,Role-Based,RBAC-HELPDESK
mreed,GG-All-Employees,Role-Based,RBAC-SECURITY
mreed,GG-Security-Analysts,Role-Based,RBAC-SECURITY
mreed,GG-Security-Log-Readers,Direct,CHG-1042
tgrant,GG-All-Employees,Role-Based,RBAC-HR
tgrant,GG-HR-Specialists,Role-Based,RBAC-HR
tgrant,GG-HR-Records-RW,Role-Based,RBAC-HR
cprice,GG-All-Employees,Role-Based,RBAC-FINANCE
cprice,GG-Finance-Analysts,Role-Based,RBAC-FINANCE
cprice,GG-Finance-Share-RW,Role-Based,RBAC-FINANCE
jlee,GG-All-Employees,Role-Based,RBAC-ITADMIN
jlee,GG-IT-Administrators,Role-Based,RBAC-ITADMIN
jlee,GG-HelpDesk-Analysts,Role-Based,RBAC-ITADMIN
jlee,GG-Server-Admins,Role-Based,PAM-2001
djames,GG-All-Employees,Role-Based,RBAC-FINANCE
djames,GG-Finance-Analysts,Role-Based,RBAC-FINANCE
djames,GG-Finance-Share-RW,Role-Based,RBAC-FINANCE
